piR-hsa-10014,cardiovascular diseases
piR-hsa-10014,parkinson disease
piR-hsa-10061,cardiovascular diseases
piR-hsa-10061,parkinson disease
piR-hsa-10065,parkinson disease
piR-hsa-10065,"carcinoma, renal cell"
piR-hsa-10103,cardiovascular diseases
piR-hsa-10103,parkinson disease
piR-hsa-10106,alzheimer disease
piR-hsa-10106,parkinson disease
piR-hsa-10123,parkinson disease
piR-hsa-10123,urinary bladder neoplasms
piR-hsa-10136,cardiovascular diseases
piR-hsa-10136,parkinson disease
piR-hsa-10246,stomach neoplasms
piR-hsa-10246,parkinson disease
piR-hsa-10246,urinary bladder neoplasms
piR-hsa-1030,parkinson disease
piR-hsa-1030,"carcinoma, renal cell"
piR-hsa-10305,cardiovascular diseases
piR-hsa-10305,parkinson disease
piR-hsa-10308,cardiovascular diseases
piR-hsa-10308,parkinson disease
piR-hsa-10323,parkinson disease
piR-hsa-10323,"carcinoma, renal cell"
piR-hsa-10346,cardiovascular diseases
piR-hsa-10346,parkinson disease
piR-hsa-10346,"carcinoma, renal cell"
piR-hsa-10380,stomach neoplasms
piR-hsa-10380,cardiovascular diseases
piR-hsa-10380,parkinson disease
piR-hsa-1041,cardiovascular diseases
piR-hsa-1041,parkinson disease
piR-hsa-1041,"carcinoma, renal cell"
piR-hsa-1042,cardiovascular diseases
piR-hsa-1042,parkinson disease
piR-hsa-1043,parkinson disease
piR-hsa-1043,"carcinoma, hepatocellular"
piR-hsa-10437,parkinson disease
piR-hsa-10437,"carcinoma, renal cell"
piR-hsa-10496,cardiovascular diseases
piR-hsa-10496,urinary bladder neoplasms
piR-hsa-10497,cardiovascular diseases
piR-hsa-10497,parkinson disease
piR-hsa-10501,alzheimer disease
piR-hsa-10501,parkinson disease
piR-hsa-10523,parkinson disease
piR-hsa-10523,"carcinoma, renal cell"
piR-hsa-1053,cardiovascular diseases
piR-hsa-1053,parkinson disease
piR-hsa-10577,cardiovascular diseases
piR-hsa-10577,"carcinoma, renal cell"
piR-hsa-10640,parkinson disease
piR-hsa-10640,"carcinoma, renal cell"
piR-hsa-10656,parkinson disease
piR-hsa-10656,"carcinoma, renal cell"
piR-hsa-10664,parkinson disease
piR-hsa-10664,"carcinoma, renal cell"
piR-hsa-10667,cardiovascular diseases
piR-hsa-10667,parkinson disease
piR-hsa-10682,parkinson disease
piR-hsa-10682,"carcinoma, renal cell"
piR-hsa-10689,cardiovascular diseases
piR-hsa-10689,myocardial infarction
piR-hsa-10691,parkinson disease
piR-hsa-10691,"carcinoma, renal cell"
piR-hsa-10707,cardiovascular diseases
piR-hsa-10707,parkinson disease
piR-hsa-10707,"carcinoma, renal cell"
piR-hsa-10724,parkinson disease
piR-hsa-10724,"carcinoma, renal cell"
piR-hsa-10762,cardiovascular diseases
piR-hsa-10762,myocardial infarction
piR-hsa-10769,cardiovascular diseases
piR-hsa-10769,parkinson disease
piR-hsa-1077,cardiovascular diseases
piR-hsa-1077,parkinson disease
piR-hsa-1077,breast neoplasms
piR-hsa-1077,"carcinoma, renal cell"
piR-hsa-1077,stomach neoplasms
piR-hsa-1077,kidney neoplasms
piR-hsa-1079,cardiovascular diseases
piR-hsa-1079,head and neck squamous cell carcinoma
piR-hsa-10802,cardiovascular diseases
piR-hsa-10802,parkinson disease
piR-hsa-10863,parkinson disease
piR-hsa-10863,"carcinoma, renal cell"
piR-hsa-10879,cardiovascular diseases
piR-hsa-10879,urinary bladder neoplasms
piR-hsa-1088,parkinson disease
piR-hsa-1088,"carcinoma, renal cell"
piR-hsa-10889,parkinson disease
piR-hsa-10889,"carcinoma, renal cell"
piR-hsa-10897,cardiovascular diseases
piR-hsa-10897,parkinson disease
piR-hsa-10907,alzheimer disease
piR-hsa-10907,parkinson disease
piR-hsa-10910,parkinson disease
piR-hsa-10910,"carcinoma, renal cell"
piR-hsa-10913,cardiovascular diseases
piR-hsa-10913,parkinson disease
piR-hsa-10927,cardiovascular diseases
piR-hsa-10927,"carcinoma, renal cell"
piR-hsa-1095,parkinson disease
piR-hsa-1095,"carcinoma, renal cell"
piR-hsa-10955,cardiovascular diseases
piR-hsa-10955,parkinson disease
piR-hsa-10986,cardiovascular diseases
piR-hsa-10986,parkinson disease
piR-hsa-10996,cardiovascular diseases
piR-hsa-10996,parkinson disease
piR-hsa-11049,cardiovascular diseases
piR-hsa-11049,parkinson disease
piR-hsa-11076,parkinson disease
piR-hsa-11076,"carcinoma, renal cell"
piR-hsa-11097,cardiovascular diseases
